"","trials","target","mean_acc","mean_dist","network","type"
"1",0,1,0,8,"convolutional","train"
"2",0,2,0,7,"convolutional","train"
"3",0,3,0,6,"convolutional","train"
"4",0,4,0,5,"convolutional","train"
"5",0,5,0,4,"convolutional","train"
"6",0,6,0,3,"convolutional","train"
"7",0,7,0,2,"convolutional","train"
"8",0,8,0,1,"convolutional","train"
"9",0,9,1,0,"convolutional","train"
"10",0,10,0,1,"convolutional","train"
"11",0,11,0,2,"convolutional","train"
"12",0,12,0,3,"convolutional","train"
"13",0,13,0,4,"convolutional","train"
"14",0,14,0,5,"convolutional","train"
"15",0,15,0,6,"convolutional","train"
"16",0,16,0,7,"convolutional","train"
"17",0,17,0,8,"convolutional","train"
"18",0,18,0,9,"convolutional","train"
"19",0,19,0,10,"convolutional","train"
"20",0,20,0,11,"convolutional","train"
"21",0,21,0,12,"convolutional","train"
"22",0,22,0,13,"convolutional","train"
"23",0,23,0,14,"convolutional","train"
"24",0,24,0,15,"convolutional","train"
"25",10000,1,0,10,"convolutional","train"
"26",10000,2,0,8.84615384615385,"convolutional","train"
"27",10000,3,0,7.51020408163265,"convolutional","train"
"28",10000,4,0,6.58974358974359,"convolutional","train"
"29",10000,5,0,5.57,"convolutional","train"
"30",10000,6,0,4.6,"convolutional","train"
"31",10000,7,0.0125,3.6625,"convolutional","train"
"32",10000,8,0.0240384615384615,2.50961538461538,"convolutional","train"
"33",10000,9,0.156565656565657,1.6969696969697,"convolutional","train"
"34",10000,10,0.109649122807018,1.16228070175439,"convolutional","train"
"35",10000,11,0.577405857740586,0.861924686192469,"convolutional","train"
"36",10000,12,0.0423728813559322,1.64830508474576,"convolutional","train"
"37",10000,13,0.0434782608695652,2.65217391304348,"convolutional","train"
"38",10000,14,0,3.72262773722628,"convolutional","train"
"39",10000,15,0.00793650793650794,4.84920634920635,"convolutional","train"
"40",10000,16,0,5.69767441860465,"convolutional","train"
"41",10000,17,0,6.56451612903226,"convolutional","train"
"42",10000,18,0,7.90476190476191,"convolutional","train"
"43",10000,19,0,8.46153846153846,"convolutional","train"
"44",10000,20,0,10.0833333333333,"convolutional","train"
"45",10000,21,0,10.1111111111111,"convolutional","train"
"46",10000,22,0,11.6666666666667,"convolutional","train"
"47",10000,23,0,11.3333333333333,"convolutional","train"
"48",10000,24,0,13,"convolutional","train"
"49",20000,1,0,10.2,"convolutional","train"
"50",20000,2,0,8.76923076923077,"convolutional","train"
"51",20000,3,0,6.44897959183673,"convolutional","train"
"52",20000,4,0.0128205128205128,5.48717948717949,"convolutional","train"
"53",20000,5,0.01,4.48,"convolutional","train"
"54",20000,6,0,3.75454545454545,"convolutional","train"
"55",20000,7,0.0625,2.75,"convolutional","train"
"56",20000,8,0.245192307692308,1.76442307692308,"convolutional","train"
"57",20000,9,0.222222222222222,1.57070707070707,"convolutional","train"
"58",20000,10,0.131578947368421,1.5219298245614,"convolutional","train"
"59",20000,11,0.133891213389121,2.05439330543933,"convolutional","train"
"60",20000,12,0.144067796610169,2.42372881355932,"convolutional","train"
"61",20000,13,0.0271739130434783,3.27173913043478,"convolutional","train"
"62",20000,14,0.0218978102189781,4.03649635036496,"convolutional","train"
"63",20000,15,0.0317460317460317,4.8968253968254,"convolutional","train"
"64",20000,16,0,5.8953488372093,"convolutional","train"
"65",20000,17,0,6.75806451612903,"convolutional","train"
"66",20000,18,0,7.76190476190476,"convolutional","train"
"67",20000,19,0,7.96153846153846,"convolutional","train"
"68",20000,20,0,9.83333333333333,"convolutional","train"
"69",20000,21,0,10.2222222222222,"convolutional","train"
"70",20000,22,0,11,"convolutional","train"
"71",20000,23,0,15,"convolutional","train"
"72",20000,24,0,13,"convolutional","train"
"73",30000,1,0,8.6,"convolutional","train"
"74",30000,2,0,7.42307692307692,"convolutional","train"
"75",30000,3,0,6.61224489795918,"convolutional","train"
"76",30000,4,0,5.75641025641026,"convolutional","train"
"77",30000,5,0,4.7,"convolutional","train"
"78",30000,6,0.00909090909090909,3.83636363636364,"convolutional","train"
"79",30000,7,0.1125,2.8625,"convolutional","train"
"80",30000,8,0.182692307692308,2.16826923076923,"convolutional","train"
