step,acc,tort
1000,0.151082,train
2000,0.2329,train
3000,0.314286,train
4000,0.423377,train
5000,0.530303,train
6000,0.61645,train
7000,0.713853,train
8000,0.825108,train
9000,0.857576,train
10000,0.925974,train
11000,0.967532,train
12000,0.975758,train
13000,0.987446,train
14000,0.990043,train
15000,0.990043,train
16000,0.992208,train
17000,0.992641,train
18000,0.993074,train
19000,0.990909,train
20000,0.98961,train
21000,0.993074,train
22000,0.990043,train
23000,0.991775,train
24000,0.990476,train
25000,0.993074,train
1000,0.106557,test
2000,0.111475,test
3000,0.147541,test
4000,0.160656,test
5000,0.183607,test
6000,0.216393,test
7000,0.25082,test
8000,0.272131,test
9000,0.285246,test
10000,0.304918,test
11000,0.309836,test
12000,0.309836,test
13000,0.318033,test
14000,0.321311,test
15000,0.314754,test
16000,0.327869,test
17000,0.322951,test
18000,0.32623,test
19000,0.32623,test
20000,0.318033,test
21000,0.332787,test
22000,0.337705,test
23000,0.327869,test
24000,0.332787,test
25000,0.329508,test
